"team_won","first_team","second_team","category"
"Pakistan","West Indies 286 and 152","Pakistan 407 and 36/3 (10.5 ov, target: 32)



 Scorecard

	Report

	Articles","Test"
"West","West Indies 312 and 268","Pakistan 393 and 81 (34.4 ov, target: 188)



 Scorecard

	Report

	Articles","Test"
"Pakistan","Pakistan 376 and 174/8d","West Indies 247 and 202 (96 ov, target: 304)



 Scorecard

	Report

	Articles","Test"
"England","England 458 and 233","South Africa 361 and 119 (36.4 ov, target: 331)



 Scorecard

	Report

	Articles","Test"
"South","South Africa 335 and 343/9d","England 205 and 133 (44.2 ov, target: 474)



 Scorecard

	Report

	Articles","Test"
"England","England 353 and 313/8d","South Africa 175 and 252 (77.1 ov, target: 492)



 Scorecard

	Report

	Articles","Test"
"England","England 362 and 243","South Africa 226 and 202 (62.5 ov, target: 380)



 Scorecard

	Report

	Articles","Test"
"Sri","Zimbabwe 356 and 377","Sri Lanka 346 and 391/6 (114.5 ov, target: 388)



 Scorecard

	Report

	Articles","Test"
"India","India 600 and 240/3d","Sri Lanka 291 and 245 (76.5 ov, target: 550)



 Scorecard

	Report

	Articles","Test"
"India","India 622/9d","Sri Lanka 183 and 386 (116.5 ov)","Test"
"India","India 487","Sri Lanka 135 and 181 (74.3 ov)","Test"
"England","England 514/8d","West Indies 168 and 137 (45.4 ov)","Test"
"West","England 258 and 490/8d","West Indies 427 and 322/5 (91.2 ov, target: 322)



 Scorecard

	Report

	Articles","Test"
"England","West Indies 123 and 177","England 194 and 107/1 (28 ov, target: 107)



 Scorecard

	Report

	Articles","Test"
"Bangladesh","Bangladesh 260 and 221","Australia 217 and 244 (70.5 ov, target: 265)



 Scorecard

	Report

	Articles","Test"
"Australia","Bangladesh 305 and 157","Australia 377 and 87/3 (15.3 ov, target: 86)



 Scorecard

	Report

	Articles","Test"
"Namibia","Hong Kong 194/9 (50/50 ov)","Namibia 195/9","ODI"
"Hong","Namibia 109 (36.1/50 ov)","Hong Kong 113/2","ODI"
"Netherlands","Papua New Guinea 122/9 (24/24 ov)","Netherlands 125/5","ODI"
"Netherlands","Netherlands 297/6 (50/50 ov)","Papua New Guinea 212","ODI"
"United","Kenya 171 (40.5/50 ov)","United Arab Emirates 173/5","ODI"
"Kenya","Kenya 270/6 (50/50 ov)","United Arab Emirates 205","ODI"
"Scotland","Scotland 235/7 (36/36 ov)","Nepal 232/5","ODI"
"Scotland","Nepal 167 (49.1/50 ov)","Scotland 111/1","ODI"
"Kenya","Kenya 287/7 (50/50 ov)","Namibia 276","ODI"
"Kenya","Kenya 215 (50/50 ov)","Namibia 123","ODI"
"Papua","Nepal 232/8 (50/50 ov)","Papua New Guinea 235/8","ODI"
"Hong","Hong Kong 298/4 (50/50 ov)","United Arab Emirates 209","ODI"
"Papua","Nepal 224/8 (50/50 ov)","Papua New Guinea 225/7","ODI"
"Hong","Hong Kong 282/8 (50/50 ov)","United Arab Emirates 146","ODI"
"Hong","Hong Kong 259 (49.1/50 ov)","Scotland 150","ODI"
"Netherlands","United Arab Emirates 112 (36/50 ov)","Netherlands 114/3","ODI"
"Netherlands","Netherlands 216 (49.4/50 ov)","United Arab Emirates 210","ODI"
"Nepal","Namibia 195/9 (50/50 ov)","Nepal 197/5","ODI"
"Nepal","Namibia 239/9 (50/50 ov)","Nepal 240/7","ODI"
"Papua","Kenya 188 (47/50 ov)","Papua New Guinea 191/4","ODI"
"Papua","Papua New Guinea 249/6 (50/50 ov)","Kenya 228","ODI"
"Netherlands","Nepal 94 (38.1/50 ov)","Netherlands 96/3","ODI"
"Scotland","Scotland 327/5 (50/50 ov)","United Arab Emirates 229","ODI"
"Nepal","Nepal 217/9 (50/50 ov)","Netherlands 198","ODI"
"Scotland","United Arab Emirates 228 (45.4/50 ov)","Scotland 229/3","ODI"
"Papua","Namibia 273/4 (50/50 ov)","Papua New Guinea 274/5","ODI"
"Papua","Namibia 212 (50/50 ov)","Papua New Guinea 213/4","ODI"
"Kenya","Hong Kong 222 (46.2/50 ov)","Kenya 201/7","ODI"
"Hong","Hong Kong 148/4 (25.1/25.1 ov)","Kenya 133 (23/25 ov, target: 173)



 Scorecard

	Report

	Photos","ODI"
"Netherlands","Netherlands 330/7 (50/50 ov)","Hong Kong 325/9","ODI"
"Netherlands","Netherlands 314/9 (50/50 ov)","Hong Kong 301/8","ODI"
"Kenya","Nepal 112/8 (36/36 ov)","Kenya 98/5","ODI"
"Nepal","Kenya 155 (46.1/50 ov)","Nepal 160/3","ODI"
"United","United Arab Emirates 292/5 (50/50 ov)","Papua New Guinea 210","ODI"
"Papua","Papua New Guinea 232/8 (50/50 ov)","United Arab Emirates 206","ODI"
"Scotland","Scotland 268/5 (43/43 ov)","Namibia 217 (39.4/43 ov)



 Scorecard

	Report

	Articles","ODI"
"Namibia","Namibia 324/5 (50/50 ov)","Scotland 274/9","ODI"
"United","Namibia 89 (28.3/50 ov)","United Arab Emirates 92/4","ODI"
"Namibia","United Arab Emirates 272/7 (50/50 ov)","Namibia 274/6","ODI"
"Scotland","Scotland 278/9 (50/50 ov)","Papua New Guinea 177","ODI"
"Netherlands","Kenya 226/7 (50/50 ov)","Netherlands 227/4","ODI"
"Papua","Scotland 203 (49.2/50 ov)","Papua New Guinea 204/5","ODI"
"Kenya","Netherlands 224/9 (50/50 ov)","Kenya 225/8","ODI"
"Hong","Hong Kong 194 (50/50 ov)","Nepal 111","ODI"
"United","United Arab Emirates 292/5 (50/50 ov)","Papua New Guinea 210","ODI"
"Papua","Papua New Guinea 232/8 (50/50 ov)","United Arab Emirates 206","ODI"
"United","United Arab Emirates 251/9 (50/50 ov)","Papua New Guinea 148","ODI"
"West","Pakistan 308/5 (50/50 ov)","West Indies 309/6","ODI"
"Pakistan","Pakistan 282/5 (50/50 ov)","West Indies 208","ODI"
"Pakistan","West Indies 233/9 (50/50 ov)","Pakistan 236/4","ODI"
"England","Ireland 126 (33/50 ov)","England 127/3","ODI"
"England","England 328/6 (50/50 ov)","Ireland 243","ODI"
"New","New Zealand 289/7 (50/50 ov)","Ireland 238","ODI"
"New","Bangladesh 257/9 (50/50 ov)","New Zealand 258/6","ODI"
"Bangladesh","Ireland 181 (46.3/50 ov)","Bangladesh 182/2","ODI"
"New","New Zealand 344/6 (50/50 ov)","Ireland 154","ODI"
"Bangladesh","New Zealand 270/8 (50/50 ov)","Bangladesh 271/5","ODI"
"England","England 339/6 (50/50 ov)","South Africa 267","ODI"
"England","England 330/6 (50/50 ov)","South Africa 328/5","ODI"
"South","England 153 (31.1/50 ov)","South Africa 156/3","ODI"
"England","Bangladesh 305/6 (50/50 ov)","England 308/2","ODI"
"No","New Zealand 291 (45/46 ov)","Australia 53/3","ODI"
"South","South Africa 299/6 (50/50 ov)","Sri Lanka 203","ODI"
"India","India 319/3 (48/48 ov)","Pakistan 164 (33.4/41 ov, target: 289)



 Scorecard

	Report

	Articles","ODI"
"No","Bangladesh 182 (44.3/50 ov)","Australia 83/1","ODI"
"England","England 310 (49.3/50 ov)","New Zealand 223","ODI"
"Pakistan","South Africa 219/8 (50/50 ov)","Pakistan 119/3 (27/27 ov, target: 101)



 Scorecard

	Report

	Articles","ODI"
"Sri","India 321/6 (50/50 ov)","Sri Lanka 322/3","ODI"
"Bangladesh","New Zealand 265/8 (50/50 ov)","Bangladesh 268/5","ODI"
"England","Australia 277/9 (50/50 ov)","England 240/4 (40.2/40.2 ov, target: 201)



 Scorecard

	Report

	Articles","ODI"
"India","South Africa 191 (44.3/50 ov)","India 193/2","ODI"
"Pakistan","Sri Lanka 236 (49.2/50 ov)","Pakistan 237/7","ODI"
"Pakistan","England 211 (49.5/50 ov)","Pakistan 215/2","ODI"
"India","Bangladesh 264/7 (50/50 ov)","India 265/1","ODI"
"Pakistan","Pakistan 338/4 (50/50 ov)","India 158","ODI"
"Afghanistan","Afghanistan 212/6 (50/50 ov)","West Indies 149","ODI"
"West","Afghanistan 135 (37.3/50 ov)","West Indies 138/6","ODI"
"Scotland","Scotland 317/6 (50/50 ov)","Zimbabwe 272 (41.4/43 ov, target: 299)



 Scorecard

	Report

	Articles","ODI"
"Zimbabwe","Scotland 169 (42/50 ov)","Zimbabwe 171/4","ODI"
"India","India 310/5 (43/43 ov)","West Indies 205/6","ODI"
"India","India 251/4 (50/50 ov)","West Indies 158","ODI"
"West","West Indies 189/9 (50/50 ov)","India 178","ODI"
"India","West Indies 205/9 (50/50 ov)","India 206/2","ODI"
"Zimbabwe","Sri Lanka 316/5 (50/50 ov)","Zimbabwe 322/4","ODI"
"Sri","Zimbabwe 155 (33.4/50 ov)","Sri Lanka 158/3","ODI"
"Sri","Zimbabwe 310/8 (50/50 ov)","Sri Lanka 312/2","ODI"
"Zimbabwe","Sri Lanka 300/6 (50/50 ov)","Zimbabwe 219/6","ODI"
"Zimbabwe","Sri Lanka 203/8 (50/50 ov)","Zimbabwe 204/7","ODI"
"India","Sri Lanka 216 (43.2/50 ov)","India 220/1","ODI"
"India","Sri Lanka 236/8 (50/50 ov)","India 231/7","ODI"
"India","Sri Lanka 217/9 (50/50 ov)","India 218/4","ODI"
"India","India 375/5 (50/50 ov)","Sri Lanka 207","ODI"
"India","Sri Lanka 238 (49.4/50 ov)","India 239/4","ODI"
"England","West Indies 204/9 (42/42 ov)","England 210/3","ODI"
"England","England 369/9 (50/50 ov)","West Indies 245","ODI"
"England","West Indies 356/5 (50/50 ov)","England 258/5 (35.1/35.1 ov, target: 253)



 Scorecard

	Report

	Articles","ODI"
"England","West Indies 288/6 (50/50 ov)","England 294/1","ODI"
"United","Papua New Guinea 102 (18.2/20 ov)","United Arab Emirates 108/5","T20I"
"United","United Arab Emirates 180/3 (20/20 ov)","Papua New Guinea 150","T20I"
"United","Papua New Guinea 128/5 (20/20 ov)","United Arab Emirates 130/5","T20I"
"Pakistan","West Indies 111/8 (20/20 ov)","Pakistan 115/4","T20I"
"Pakistan","Pakistan 132 (20/20 ov)","West Indies 129/8","T20I"
"West","Pakistan 137/8 (20/20 ov)","West Indies 138/3","T20I"
"Pakistan","West Indies 124/8 (20/20 ov)","Pakistan 127/3","T20I"
"West","Afghanistan 110 (20/20 ov)","West Indies 114/4","T20I"
"West","West Indies 112/3 (15/15 ov)","Afghanistan 93 (13.3/15 ov, target: 123)



 Scorecard

	Report

	Photos","T20I"
"West","Afghanistan 146/6 (20/20 ov)","West Indies 147/3","T20I"
"England","South Africa 142/3 (20/20 ov)","England 143/1","T20I"
"South","South Africa 174/8 (20/20 ov)","England 171/6","T20I"
"England","England 181/8 (20/20 ov)","South Africa 162/7","T20I"
"West","India 190/6 (20/20 ov)","West Indies 194/1","T20I"
"India","Sri Lanka 170/7 (20/20 ov)","India 174/3","T20I"
"West","West Indies 176/9 (20/20 ov)","England 155","T20I"
"Sunrisers","Sunrisers Hyderabad 207/4 (20/20 ov)","Royal Challengers Bangalore 172","T20L"
"Rising","Mumbai Indians 184/8 (20/20 ov)","Rising Pune Supergiant 187/3","T20L"
"Kolkata","Gujarat Lions 183/4 (20/20 ov)","Kolkata Knight Riders 184/0","T20L"
